keyword_id,keyword,search_volume,conversion_rate,top_sku,created_at
KEYW1001,apple,4794,8.03,CAR004,2025-10-09 20:11:55
KEYW1002,cheap veg,159,11.0,CAR004,2025-10-08 05:38:59
KEYW1003,organic veg,4434,10.78,CAR004,2025-10-20 14:33:51
KEYW1004,fresh fruits,1752,9.45,COW005,2025-11-11 14:17:23
KEYW1005,vegetables,823,3.61,APP009,2025-11-07 06:19:10
KEYW1006,cheap veg,3043,2.95,TOM001,2025-11-03 11:01:52
KEYW1007,fresh fruits,2851,5.18,CAR004,2025-11-20 16:19:51
KEYW1008,organic veg,1228,8.67,POT002,2025-10-30 17:26:54
KEYW1009,cheap veg,1860,7.95,CAR004,2025-11-18 17:28:49
KEYW1010,organic veg,1552,4.87,APP009,2025-10-29 01:28:55
KEYW1011,tomato,551,0.88,TOM001,2025-10-31 16:31:55
KEYW1012,organic veg,1673,2.24,APP009,2025-11-30 23:23:20
KEYW1013,fresh fruits,4404,4.88,TOM001,2025-10-22 20:05:07
KEYW1014,apple,4609,6.12,ONI003,2025-11-10 20:09:02
KEYW1015,lemon,4562,11.37,COW005,2025-11-10 14:40:47
KEYW1016,apple,2115,2.52,APP009,2025-11-20 00:47:52
KEYW1017,potato,2759,0.51,COW005,2025-10-25 12:46:28
KEYW1018,vegetable sale,363,5.22,CAR004,2025-11-04 00:52:18
KEYW1019,vegetables,1298,9.68,POT002,2025-10-17 08:45:38
KEYW1020,apple,2333,2.41,TOM001,2025-10-13 01:23:58
KEYW1021,fresh fruits,1708,2.48,COW005,2025-11-11 06:01:44
KEYW1022,potato,1304,10.19,ONI003,2025-10-04 23:22:30
KEYW1023,potato,1911,1.56,CAR004,2025-11-22 22:14:13
KEYW1024,apple,243,4.31,CAR004,2025-10-27 09:45:57
KEYW1025,vegetable sale,2703,1.47,APP009,2025-11-01 07:58:20
KEYW1026,organic veg,110,8.84,CAR004,2025-10-07 21:27:09
KEYW1027,fresh fruits,4273,11.26,COW005,2025-10-19 14:57:21
KEYW1028,apple,3541,11.65,POT002,2025-11-21 16:34:20
KEYW1029,cheap veg,2761,0.61,ONI003,2025-11-29 21:40:24
KEYW1030,apple,1859,1.18,TOM001,2025-11-16 16:37:26
KEYW1031,potato,1669,8.69,TOM001,2025-10-30 12:45:49
KEYW1032,potato,744,0.77,CAR004,2025-10-03 18:39:21
KEYW1033,lemon,2651,10.94,CAR004,2025-12-02 09:07:16
KEYW1034,lemon,2012,11.69,TOM001,2025-10-23 23:28:34
KEYW1035,lemon,1396,6.53,GUR010,2025-11-29 05:18:52
KEYW1036,cheap veg,101,10.37,TOM001,2025-10-23 04:06:30
KEYW1037,vegetable sale,1800,8.36,TOM001,2025-10-29 06:53:21
KEYW1038,apple,1748,2.01,GUR010,2025-12-01 22:21:24
KEYW1039,potato,3940,10.21,COW005,2025-11-10 09:17:21
KEYW1040,potato,4946,1.45,COW005,2025-10-30 13:26:00
KEYW1041,potato,1638,2.48,APP009,2025-11-18 13:43:57
KEYW1042,vegetable sale,747,9.27,CAR004,2025-11-30 14:37:17
KEYW1043,tomato,2776,9.61,ONI003,2025-10-22 11:26:03
KEYW1044,organic veg,2926,1.49,COW005,2025-11-07 17:40:02
KEYW1045,tomato,4488,10.64,CAR004,2025-10-24 16:07:12
KEYW1046,vegetables,4123,2.79,GUR010,2025-11-05 00:42:09
KEYW1047,tomato,3843,10.63,APP009,2025-11-10 05:35:40
KEYW1048,potato,2170,11.62,ONI003,2025-10-19 07:35:31
KEYW1049,organic veg,1149,11.82,GUR010,2025-10-13 14:58:16
KEYW1050,vegetable sale,95,3.07,APP009,2025-11-03 22:21:38
KEYW1051,potato,1072,4.49,GUR010,2025-10-31 16:03:28
KEYW1052,fresh fruits,2451,7.37,ONI003,2025-10-17 22:20:05
KEYW1053,tomato,526,10.47,APP009,2025-11-12 20:57:00
KEYW1054,organic veg,435,8.09,ONI003,2025-10-16 09:00:08
KEYW1055,vegetables,3740,4.84,COW005,2025-11-12 13:46:52
KEYW1056,organic veg,1123,9.95,GUR010,2025-11-16 13:03:02
KEYW1057,vegetable sale,590,10.6,ONI003,2025-10-11 06:45:10
KEYW1058,cheap veg,3743,7.78,ONI003,2025-11-23 10:32:45
KEYW1059,vegetables,1030,9.02,GUR010,2025-11-24 16:50:29
KEYW1060,potato,1465,6.14,COW005,2025-11-30 23:15:40
KEYW1061,vegetable sale,2894,5.69,ONI003,2025-10-18 17:59:31
KEYW1062,tomato,3469,4.74,APP009,2025-11-12 04:03:02
KEYW1063,cheap veg,3426,5.65,CAR004,2025-11-18 18:47:53
KEYW1064,apple,4673,5.79,GUR010,2025-10-09 09:10:57
KEYW1065,vegetable sale,2207,2.57,ONI003,2025-10-12 03:08:18
KEYW1066,vegetables,1620,4.86,APP009,2025-10-23 15:44:41
KEYW1067,fresh fruits,1175,4.68,APP009,2025-11-14 06:27:25
KEYW1068,apple,4342,1.17,APP009,2025-10-09 18:02:03
KEYW1069,tomato,3671,11.82,GUR010,2025-11-29 00:54:00
KEYW1070,tomato,3935,6.94,ONI003,2025-10-12 08:48:38
KEYW1071,lemon,412,5.29,APP009,2025-11-12 10:46:11
KEYW1072,lemon,1213,9.93,TOM001,2025-11-10 00:37:07
KEYW1073,vegetable sale,2349,8.87,TOM001,2025-11-15 01:25:45
KEYW1074,apple,1019,5.69,COW005,2025-10-24 15:39:04
KEYW1075,fresh fruits,2249,2.47,COW005,2025-10-21 12:08:17
KEYW1076,potato,4875,4.26,TOM001,2025-10-17 05:42:21
KEYW1077,vegetables,4065,5.26,APP009,2025-10-15 02:15:53
KEYW1078,tomato,534,9.59,TOM001,2025-11-16 20:06:47
KEYW1079,cheap veg,2377,1.14,TOM001,2025-11-15 21:24:12
KEYW1080,tomato,1610,6.64,TOM001,2025-11-06 06:24:15
KEYW1081,apple,4849,7.48,CAR004,2025-11-29 15:58:28
KEYW1082,vegetable sale,886,2.3,COW005,2025-10-30 07:12:40
KEYW1083,vegetables,433,4.4,GUR010,2025-10-09 21:58:25
KEYW1084,cheap veg,1928,7.08,POT002,2025-11-01 09:20:38
KEYW1085,apple,1318,4.33,ONI003,2025-10-29 04:08:08
KEYW1086,organic veg,4759,9.81,GUR010,2025-11-19 15:34:13
KEYW1087,organic veg,1110,9.78,CAR004,2025-11-18 22:20:00
KEYW1088,potato,4977,4.72,APP009,2025-10-20 17:18:23
KEYW1089,apple,671,7.9,COW005,2025-10-05 18:03:11
KEYW1090,tomato,1257,2.32,APP009,2025-10-30 14:27:53
KEYW1091,tomato,2204,2.33,POT002,2025-11-05 13:54:25
KEYW1092,fresh fruits,3331,11.11,APP009,2025-10-25 07:28:32
KEYW1093,cheap veg,2081,7.92,CAR004,2025-10-25 03:26:54
KEYW1094,potato,948,10.04,ONI003,2025-11-15 08:45:51
KEYW1095,potato,579,8.02,CAR004,2025-11-10 00:20:47
KEYW1096,potato,4036,5.01,TOM001,2025-11-29 13:50:04
KEYW1097,cheap veg,2747,11.57,CAR004,2025-11-16 17:15:53
KEYW1098,lemon,2661,4.02,ONI003,2025-11-30 11:45:59
KEYW1099,organic veg,2241,6.0,APP009,2025-10-13 05:43:07
KEYW1100,potato,1892,7.71,APP009,2025-11-14 15:55:30
